scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay,students_index,teachers_index
3413,Azhar bin Qais,( أزهر بن قيس ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3414,Azynah bin Haarith,( أذينة بن الحارث ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3415,al-Hakam ibn Abi al-'As,( ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3416,Amr ibn 'Abbasah,( ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3417,Amr ibn Maymun,( ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3434,Ibrahim al ansari,( إبراهيم الأنصاري ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3435,Ibrahim al Ashhali,( إبراهيم الأشهلي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3436,Ibrahim al najjar,( إبراهيم النجار ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3437,Ibrahim al thaqafi,( إبراهيم الثقفي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3438,Ibrahim ibn Abdullah,( إبراهيم بن عبد الله ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3439,Ibrahim ibn Abd ul Rahmaan al,( إبراهيم بن عبد الرحمن العذري ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3440,Ibrahim ibn Abd ul Rahmaan al,( إبراهيم بن عبد الرحمن الزهري ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3441,Ibrahim ibn Harith,( إبراهيم بن الحارث ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3442,Ibrahim ibn Ibaad,( إبراهيم بن عباد ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3443,Ibrahim ibn Khllaad,( إبراهيم بن خلاد ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3444,Ibrahim ibn Naeem,( إبراهيم بن نعيم ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3480,Ubayy ibn al Qashab,( أبي بن القشب ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3481,Ubayy ibn Ammarah,( أبي بن عمارة ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3482,Ubayy ibn Kab ibn Abd Thaur,( أبي بن كعب بن عبد ثور ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3484,Ubayy ibn Malik,( أبي بن مالك ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3485,Ubayy ibn Muaz,( أبي بن معاذ ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3486,Ubayy ibn Shreeq - Akhnus ibn,( أبي بن شريق، ويعرف بالأخنس بن شريق ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3487,Ubayy ibn Thabit,( أبي بن ثابت ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3488,Ubayy ibn Ujlaan,( أبي بن عجلان ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3489,Ubayy ibn Umayyah,( أبي بن أمية ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3550,Ghilan bin Salma al-Thaqafi,( غيلان بن سلمة بن معتب الثقفي ( رضي الله عنه,Comp.(RA),0,622,"Taif, Makkah, Medina",,1
3551,Aa'yun bin Zuby'aah,( أعين بن ضبيعة بن ناجية بن عقال ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3552,Aa'rus bin al yushkry,( أعرس بن عمرواليشكري ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3553,Aabi al laham,( آبي اللحم الغفاري ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3554,Abaan al abdi,( أبان العبدي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3555,Abaan al muharbi,( أبان المحاربي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3558,Abdullah bin al Aa'wer,( الأعشى المازني‘ واسمه عبد الله بن الأعو ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3562,Abyz,( أبيض ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3563,Abza al Khuza'e,( أبزى الخزاعي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3565,Abyz bin Honey,( أبيض بن هني ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3566,Adeem al tughlabi,( أديم التغلبي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3571,Aftus,( أفطس ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3572,Ahmar abu Usaib,( أحمر أبو عسيب ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3573,Ahmad bin Hafs,( أحمد بن حفص ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3574,Ahmar bin Muawia,( أحمر بن معاوية ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3575,Ahmar bin Qutn,( أحمر بن قطن ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3576,Ahmar bin Saleem,( أحمر بن سليم ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3577,Ahmar bin Swa'a,( أحمر بن سواء ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3578,Ahmar mola Umm Salmah,( أحمر مولى أم سلمة ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3580,Ahyah bin Umayyah,( أحيحة بن أمية ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3581,Ahzaab bin Usaid,( أحزاب بن أسيد ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3582,Akbar al harithi,( أكبر الحارثي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3583,Akeymah al laythee,( أكيمة الليثي‘ وقيل الزهري ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3584,Akhrm al hajimy,( أخرم الهجيمي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3585,Aktal bin Shumakh,( أكتل بن شماخ بن يزيد ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3586,Akthum bin Al Jaun,( أكثم بن الجون‘وقيل ابن أبي الجون،واسمه ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3587,Akthum bin Saifi,( أكثم بن صيفي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3588,Akthum bin Saifi,( أكثم بن صيفي بن عبدالعزى بن سعد ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3589,Akydur bin Abdul Malik,( أكيدربن عبدالملك ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3590,Al Aagher al ghifari,( الأغرالغفاري ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3591,Al Aagher al muzni,( الأغرالمزني ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3592,Al Aagher bin Ysaar,( الأغربن يسار الجهني ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3593,Al Aa'shaw al mazini,( الأعشى المازني‘ واسمه عبد الله بن الأعو ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3594,Al Aa'wer bin Bishamah,( الأعور بن بشامة العنبري ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3595,Al Adra'e al aslami,( الأدرع الأسلمي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3596,Al Adra'e al zumri,( الأدرع الضمري أبو الجعد ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3597,Al Aghlab al rajiz,( الأغلب الراجزالعجلي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3598,Al Ahmari,( الأحمري ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medinah",,1
3600,al-Nawas bin Sam'an al-Kalabi,( النواس بن سمعان الكلابي ( رضي الله عنه,Comp.(RA) [1st Generation],0,0,"Medina, Syria","11027, 4097",1
3601,Sam'an al-Kalabi,( سمعان بن خالد الكلابي ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3620,Jundub bin Makayth,( جندب بن مكيث الجهني ( رضي الله عنه,Comp.(RA) [1st Generation],0,0,"Makkah, Medina",,1
3621,Rafi' bin Makayth,( رافع بن مكيث الجهني ( رضي الله عنه,Comp.(RA) [1st Generation],0,0,"Makkah, Medina",3622,1
3622,al-Harith bin Rafi' bin Makayth,( الحارث بن رافع بن مكيث الجهني ( رضي الله عنه,Comp.(RA) [3rd Generation],0,0,"Makkah, Medina","22046, 18902","1, 3621, 34"
3625,Zayd bin Khalid al-Juhni,( زيد بن خالد الجهني ( رضي الله عنه,Comp.(RA) [1st Generation],0,698,"Medina, Kufa","10729, 19238, 11170, 11706, 929, 11153, 11029, 11020, 11238, 10858, 11004, 10567","1, 4, 53, 229"
3650,'Abdullah bin Basr al-Maazni,( عبد الله بن بسر المازني ( رضي الله عنه,Comp.(RA) [1st Generation],0,708,"Hijaz, Syria, Hims",19425,"1, 4092, 3652"
3651,'Attiya bin Basr al-Maazni,( عطية بن بسر المازني ( رضي الله عنه,Comp.(RA) [1st Generation],0,0,"Hijaz, Syria, Hims","10915, 17528","1, 4092, 3652"
3652,al-Sama' bint Basr al-Maazni,( الصماء بنت بسر المازنية ( رضي الله عنها,Comp.(RA) [1st Generation],0,0,"Hijaz, Syria, Hims",3650,"1, 4092, 53"
3656,Basra bint Ghazwan,( بسرة بنت غزوان ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medinah",,1
3660,"Abu al-Tufayl, 'Amir bin Wathla",( أبو الطفيل عامر بن واثلة ( رضي الله عنه,Comp.(RA) [1st Generation],622,729,"Medina, Makkak","11013, 11263, 11019, 11257, 11343, 10792, 11251, 11709, 13539, 11081, 11384, 11261, 10712, 11303, 11564, 10969, 10659, 11411","1, 2, 3, 5, 32, 145, 16, 17, 4114, 5309, 384"
3661,al-Sa'b bin Juthama bin Qays,( الصعب بن جثامة ( رضي الله عنه,Comp.(RA) [1st Generation],0,0,"Ta'if, Medina",17,"1, 1"
3662,Muhlam bin Juthama bin Qays,( محلم بن جثامة ( رضي الله عنه,Comp.(RA),0,0,"Ta'if, Medina",,1
3663,Laith bin Juthama bin Qays,( ليث بن جثامة ( رضي الله عنه,Comp.(RA),0,0,"Ta'if, Medina",,1
3664,Ghalib bin 'Abdullah bin Fadala al-Laith,( غالب بن عبد الله بن فضالة الليثي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3665,al-Sumayta al-Laythiyya,( الصميتة الليثية ( رضي الله عنها,Comp.(RA) [1st Generation],0,0,Medina,11817,1
3670,Hind bin Abi Halah,( هند بن أبي هالة التميمي ( رضي الله عنه,Comp.(RA) [1st Generation],0,657,"Makkah, Medina, Basra","30, 31, 17, 3675",1
3671,Halah bin Abi Halah,( هالة بن أبي هالة التميمي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medina",,1
3672,al-Harith bin Abi Halah,( الحارث بن أبي هالة التميمي ( رضي الله عنه,Comp.(RA),0,0,Makkah,,1
3673,Tahir bin Abi Halah,( طاهر بن أبي هالة التميمي ( رضي الله عنه,Comp.(RA),0,0,Makkah,,1
3675,Hind bin Hind bin Abi Halah,( هند بن هند بن أبي هالة ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medina",,"1, 3670"
3680,Tariq bin Shahab,( طارق بن شهاب ( رضي الله عنه,Comp.(RA) [1st Generation],0,704,Kufa,"11418, 11386, 11374, 10770",1
3681,Abu 'Uzra bin Shahab,( أبو عزرة ( رضي الله عنه,Comp.(RA),0,0,Kufa,3680,"1, 24, 14"
3682,Abu Hazim al-Bajli,( أبو حازم البجلي الأحمسي ( رضي الله عنه,Comp.(RA) [1st Generation],0,0,,,1
3690,Habib bin Rabi'a al-Salmi,حبيب بن ربيعة,Follower(Tabi'),0,0,"Hijaz, Kufa",11359,
3691,Ma'n bin Yazid bin al-Akhnas,( معن بن يزيد ( رضي الله عنه,Comp.(RA),0,685,"Kufa, Egypt,  Syria","11685, 15219",1
3692,Yazid bin al-Akhnas,( يزيد بن الأخنس السلمي ( رضي الله عنه,Comp.(RA),0,0,"Medina, Kufa",,1
3693,al-Akhnas al-Salmi,( الأخنس السلمي ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3700,Khalid bin Hudhah,( خالد بن هوذة بن ربيعة ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3701,al-'Ada' bin Khalid bin Hudhah,( العداء بن خالد بن هوذة ( رضي الله عنه,Comp.(RA) [1st Generation],0,0,Medina,,1
3702,Harmala bin Khalid bin Hudhah,( حرملة بن خالد بن هوذة ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3710,al-Mughira bin Abi Rafi',( مغيرة بن أبي رافع ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3711,'Ali bin Abi Rafi',( علي بن أبي رافع ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3712,al-Fadl bin Abi Rafi',( الفضل بن أبي رافع ( رضي الله عنه,Comp.(RA),0,0,Medina,18497,"1, 479"
3713,al-Hasan bin Abi Rafi',( الحسن بن أبي رافع ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3714,Rafi' bin Abi Rafi',( رافع بن أبي رافع ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3715,Zaynab bint Abi Rafi',( زينب بنت أبي رافع ( رضي الله عنها,Comp.(RA),0,0,Medina,,1
3800,Tamim bin S'ad al-Tamimy,( تميم بن سعد التميمي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3801,Thabit bin Ithlh al-Ansari al-Awsy,( ثابت بن إثلة الأنصاري الأوسي ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3802,Thabit bin Zayd al-Harithy Abu Zayd,( ثابت بن زيد الحارثي أبو زيد ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3803,Th'albah bin Ubaid bin Ady,( ثعلبة بن عبيد بن عدي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3804,Th'albah bin Qyzy bin Skhr bin Salmah,( ثعلبة بن قيظي بن صخر بن سلمة ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3805,Thabit bin Yazid Abu Asyd al-Ansari,( ثابت بن يزيد أبو أسيد الأنصاري ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3806,Jabir bin al-N'uman bin 'Umayr bin Malik,( جابر بن النعمان بن عمير بن مالك ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3807,Jabir bin Yasr bin Awys Bwzn,( جابر بن ياسر بن عويص بوزن ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3808,Jbyr Khatb Bha al-Nby Sla al-Lh,( جبير خاطب بها النبي صلى الله ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3809,Jhdmh,(no identity) ( جحدمة غير منسوب ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3810,Jryr bin al-Arqt,( جرير بن الأرقط ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3811,Jlyhh bin 'Abdullah bin Mharb,( جليحة بن عبد الله بن محارب ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3812,Jmy' bin Mas'ud bin 'Amr bin Asrm,( جميع بن مسعود بن عمرو بن أصرم ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3813,Jnyd bin 'Abdur Rahman bin Awf,( جنيد بن عبد الرحمن بن عوف ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3814,Jhysh bin Yazid bin Malik bin Abd,( جهيش بن يزيد بن مالك بن عبد ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3815,Jabir bin Yasr bin Awys,( جابر بن ياسر بن عويص ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3816,Jrad bin Thyh bin Rabi'yah bin al-Whyd,( جراد بن طهية بن ربيعة بن الوحيد ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3817,Jz'a bin Drar al-Ghtfany,( جزء بن ضرار الغطفاني ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3818,Jabir bin 'Abdullah al-'Ashhly Whm,( جابر بن عبد الله الأشهلي وهم ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3819,Jryj bin Salamh Abu Shah,( جريج بن سلامة أبو شاه ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3820,Jfshysh bin al-'Aswad al-Kndy,( جفشيش بن الأسود الكندي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3821,Jndb bin Zuhyr al-'Umary Frq bin Fthwn,( جندب بن زهير العامري فرق بن فتحون ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3822,Hajb bin Zayd bin Tym bin Umayya,( حاجب بن زيد بن تيم بن أمية ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3823,Habib bin S'ad Mwla al-Ansar,( حبيب بن سعد مولى الأنصار ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3824,Hjr bin Yazid bin M'ad Ykrb,( حجر بن يزيد بن معد يكرب ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3825,Hzm bin 'Amr al-Waqfy Ad'h Abu,( حزم بن عمرو الواقفي عده أبو ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3826,Hsk'h al-Hnzly,( حسكة الحنظلي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3827,Husayn,(no identity) ( حصين غير منسوب ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3828,Hkym bin 'Amir al-Bdy Thm al-Mharby,( حكيم بن عامر العبدي ثم المحاربي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3829,Hjr bin Malik bin Hdhyfh bin Bdr,( حجر بن مالك بن حذيفة بن بدر ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3830,Hjyl bin Qdamh al-Yrbw'y,( حجيل بن قدامة اليربوعي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3831,Hdhyfh bin Ubaid al-Mrady,( حذيفة بن عبيد المرادي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3832,Hdhyfh al-Barqy al-Azdy,( حذيفة البارقي الأزدي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3833,Husayn bin Hrym al-Tamimy,( حصين بن هريم التميمي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3834,Hameed bin Hwra'a al-Zbydy Whwra'a Amh,( حميد بن حوراء الزبيدي وحوراء أمه ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3835,Hnzlh bin al-Tfyl bin Malik bin Ja'far,( حنظلة بن الطفيل بن مالك بن جعفر ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3836,Habib bin Abi Mrdyh,( حبيب بن أبي مرضية ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3837,Hjr al-Mdry Arsl Hdytha F'akhrjh Bqy,( حجر المدري أرسل حديثا فأخرجه بقي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3838,Hrash bin Umayya al-K'aby,( حراش بن أمية الكعبي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3839,Hryth bin Shyban Wald Bakr bin Wa'il,( حريث بن شيبان والد بكر بن وائل ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3840,Husayn bin Rabi'yah al-Ahmsy Abu Artah,( حسين بن ربيعة الأحمسي أبو أرطاة ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3841,Hamza bin Malik bin Dhy Msh'ar,( حمزة بن مالك بن ذي مشعار ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3854,Khlad bin Yazid bin Mua'wiya,( خلاد بن يزيد بن معاوية ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3855,Djajh bin Rabi'yah bin 'Amir bin Malik,( دجاجة بن ربيعة بن عامر بن مالك ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3856,Dhw Mnahb Wdhw Mnadh Wdhw Mhdm,( ذو مناحب وذو منادح وذو مهدم ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3857,Dhbab bin al-Harith bin 'Amr bin Mua'wiy,( ذباب بن الحارث بن عمرو بن معاوية ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3858,Rbts Bskwn al-Mwhd'h Wfth al-Mthnah B'd',( ربتس بسكون الموحدة وفتح المثناة بعدها ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3859,Rb'y bin 'Amr al-Ansari,( ربعي بن عمرو الأنصاري ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3860,Rabi'yah bin Khrash al-Sbahy,( ربيعة بن خراش الصباحي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3861,Rabi'yah bin Abi Khrshh bin 'Amr,( ربيعة بن أبي خرشة بن عمرو ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3862,Rabi'yah bin Khwyld bin Salmah bin Hilal,( ربيعة بن خويلد بن سلمة بن هلال ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3863,Rabi'yah bin Syar bin 'Amr bin Awf,( ربيعة بن سيار بن عمرو بن عوف ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3864,Rabi'yah bin Atyk,( ربيعة بن عتيك ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3865,Rabi'yah al-Sa'dy,( ربيعة السعدي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3866,Rja'a,(no identity) ( رجاء غير منسوب ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3867,Rfa'h bin 'Amr bin Nawful bin Abd,( رفاعة بن عمرو بن نوفل بن عبد ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3868,Rwman al-Rwmy Yqal Inh Asm Sfynh,( رومان الرومي يقال إنه اسم سفينة ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3869,Rabi'yah bin Shrhbyl bin Hasanh,( ربيعة بن شرحبيل بن حسنة ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3870,R'iab Bksr Awlh Thm Thtanyh Mhmwzh,( رئاب بكسر أوله ثم تحتانية مهموزة ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3871,Rabi'yah bin al-Harith bin Malik Abu,( ربيعة بن الحارث بن مالك أبو ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3872,Rabi'yah Khadm al-Nby Sla al-Lh 'Alih,( ربيعة خادم النبي صلى الله عليه ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3873,Rfa'h bin Abd al-Mundhir bin Rfa'h,( رفاعة بن عبد المنذر بن رفاعة ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3874,Rfa'h al-Bdry,( رفاعة البدري ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3875,Zr bin Jabir bin Sdws bin Asm',( زر بن جابر بن سدوس بن أصمع ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3876,Zayd,(no identity) ( زيد غير منسوب ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3877,Zrarh bin Hwd'h bin Malik bin 'Amr,( زرارة بن هودة بن مالك بن عمرو ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3878,Zr'h bin Abi 'Uqba al-Hmyry,( زرعة بن أبي عقبة الحميري ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3879,Zman bin Amar al-Fzary,( زمان بن عمار الفزاري ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3880,Zuhyr bin al-Mghfl bin Awf bin 'Umayr,( زهير بن المغفل بن عوف بن عمير ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3881,Sa'd'h bin Mhsn,( ساعدة بن محصن ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3882,Salm bin Hmyr al-Bdy,( سالم بن حمير العبدي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3883,Sraqh bin 'Amr bin Zayd bin Abd,( سراقة بن عمرو بن زيد بن عبد ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3884,S'ad bin Khythmh al-Salmy Abu Khythmh,( سعد بن خيثمة السالمي أبو خيثمة ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3885,S'ad bin Salamh bin Wqsh al-'Ashhly,( سعد بن سلامة بن وقش الأشهلي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3886,S'ad bin 'Amr bin Thqf bin Malik,( سعد بن عمرو بن ثقف بن مالك ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3887,Sa'da Aakhrh Ya'a Thtanyh W'awrd'h bin S,( سعدى آخره ياء تحتانية وأورده بن شاهين ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3888,S'aid bin Ady al-Ansari,( سعيد بن عدي الأنصاري ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3889,S'aid bin 'Amr al-Ydhy Balmhmlh Thm,( سعيد بن عمرو العيذي بالمهملة ثم ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3890,S'yr bin Swad'h al-'Umary Wqyl,( سعير بن سوادة العامري وقيل ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3891,Sufyan bin Khwla bin Abd 'Amr,( سفيان بن خولى بن عبد عمرو ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3892,Sufyan bin S'habh al-Mhry al-M'arwf Balk,( سفيان بن صهابة المهري المعروف بالخرنق ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3893,Salamh al-Dhry Yqal,( سلامة العذري يقال ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3894,Slma bin al-Qyn bin 'Amr bin Bakr,( سلمى بن القين بن عمرو بن بكر ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3895,Smyr Wald Sulaiman L'lh Smrh bin Jndb,( سمير والد سليمان لعله سمرة بن جندب ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3896,Snan bin Suwayd al-Jhny,( سنان بن سويد الجهني ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3897,Snan bin Zuhyr al-'Asady,( سنان بن ظهير الأسدي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3898,Swa'a bin al-Harith bin Zalm bin Hdad,( سواء بن الحارث بن ظالم بن حداد ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3899,S'ad bin Zayd al-Ansari,( سعد بن زيد الأنصاري ( رضي الله عنه,Comp.(RA),0,0,Medina,,1
3900,Slyl bin Zayd bin Malik bin al-M'ala,( سليل بن زيد بن مالك بن المعلى ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3901,S'aid Bzyad'h Ya'a bin Ahmed bin Mua'wiy,( سعيد بزيادة ياء بن أحمد بن معاوية ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
3902,Sufyan bin Qays al-Kndy,( سفيان بن قيس الكندي ( رضي الله عنه,Comp.(RA),0,0,Hijaz,,1
