scholar_index,name_letters,name_arabic,birth_greg,death_greg,places_of_stay
1868,Umm Sahl bint Rumi,( أم سهل بنت رومي بن وقش ( رضي الله عنها,0,0,Medinah
1869,Umama bint Bashr bin Waqash,( أمامة بنت بشر بن وقش الأنصارية ( رضي الله عنها,0,0,Medinah
1870,Umayma bint 'Amr bin Sahl,( أميمة بنت عمرو بن سهل ( رضي الله عنها,0,0,Medina
1871,Hind bint Sahl bin Zayd,( هند بنت سهل بن زيد ( رضي الله عنها,0,0,Medina
1872,Mulayka bint Sahl bin Zayd,( مليكة بنت سهل بن زيد ( رضي الله عنها,0,0,Medina
1873,al-Sa'ba bint Sahl bin Zayd,( الصعبة بنت سهل بن زيد ( رضي الله عنها,0,0,Medina
1874,Umayma bint Abul-Haytham,( أميمة بنت أبي الهيثم بن التيهان ( رضي الله عنها,0,0,Medina
1875,Fatima bint al-Yaman,( فاطمة بنت اليمان العبسية ( رضي الله عنها,0,0,"Makkah, Medina"
1876,Thubayta bint al-Dahhak,( ثبيتة بنت الضحاك بن خليفة ( رضي الله عنها,0,0,Medinah
1877,al-Rabab bint Ka'b bin 'Adi,( الرباب بنت كعب بن عدي ( رضي الله عنها,0,0,Medinah
1878,Khawla bint al-Yaman,( خولة بنت اليمان ( رضي الله عنها,0,0,"Makkah, Medina"
1880,'Abdullah bin Sharik ibn Anas,( عبد الله بن شريك بن أنس بن رافع ( رضي الله عنه,0,0,Medinah
1881,Umm Sakhar bint Sharik ibn Anas,( أم صخر بنت شريك بن أنس ( رضي الله عنها,0,0,Medinah
1882,Habiba bint Sharik ibn Anas,( حبيبة بنت شريك بن أنس ( رضي الله عنها,0,0,Medinah
1883,Umm Sulayman bint Sharik ibn Anas,( أم سليمان بنت شريك بن أنس ( رضي الله عنها,0,0,Medinah
1890,Iyyas bin Aus bin 'Atik,( إياس بن أوس بن عتيك الأنصاري ( رضي الله عنه,0,625,Medina
1891,Habib bin,(Yazid bin) Taym ( حبيب بن تيم الأنصاري ( رضي الله عنه,0,625,Medina
1892,Thabit bin al-Samit al-Ansari,( ثابت بن الصامت الأنصاري الأشهلي ( رضي الله عنه,0,0,Medina
1893,'Abdur Rahman bin Thabit,( عبد الرحمن بن ثابت بن الصامت الأنصاري ( رضي الله عنه,0,0,Medina
1900,Sahl bin Rumi bin Waqash,( سهل بن رومي بن وقش ( رضي الله عنه,0,0,Medinah
1901,al-Dahhak bin Khalifa,( الضحاك بن خليفة بن ثعلبة ( رضي الله عنه,0,622,Medinah
1902,Thabit bin al-Dahhak bin Khalifa,( ثابت بن الضحاك بن خليفة الأشهلي ( رضي الله عنه,0,622,Medina
1903,Abu Jubayra bin al-Dahhak,( أبو جبيرة بن الضحاك بن خليفة الأشهلي ( رضي الله عنه,0,622,Medinah
1904,Safwan ibn al-Yaman,( صفوان بن اليمان ( رضي الله عنه,0,0,"Makkah, Medina"
1905,Rafi' bin Sahl bin Zayd,( رافع بن سهل بن زيد ( رضي الله عنه,0,0,Medina
1906,Ma'bad b. Mukhrama b. Qila',( معبد بن مخرمة بن قلع ( رضي الله عنه,0,0,Medina
1907,'Abbad bin Sahl b. Mukhrama,( عباد بن سهل بن مخرمة ( رضي الله عنه,0,625,Medina
1908,Sayfi bin Qayzi bin 'Amr,( صيفي بن قيظي بن عمرو ( رضي الله عنه,0,625,Medina
1909,al-Habab bin Qayzi bin 'Amr,( الحباب بن قيظي بن عمرو ( رضي الله عنه,0,625,Medina
1910,'Abbad bin 'Ubaid bin al-Tayyihan,( عباد بن عبيد بن التيهان ( رضي الله عنه,0,0,Medina
1911,'Uqba bin Qayzi bin Qays,( عقبة بن قيظي بن قيس ( رضي الله عنه,0,635,Medina
1912,Abu Thabit bin 'Abd 'Amr bin Qayzi,( أبو ثابت بن عبدعمرو بن قيظي ( رضي الله عنه,0,0,Medina
1913,Shareek bin 'Abd 'Amr bin Qayzi,( شريك بن عبد عمرو بن قيظي ( رضي الله عنه,0,0,Medina
1914,Mirba' bin Qayzi,( مربع بن قيظي ( رضي الله عنه,0,0,Medina
1915,Tamim bin Ma'bad,( تميم بن معبد بن عبد سعد بن عامر ( رضي الله عنه,0,0,Medina
1916,'Abdur Rahman bin Sahl,( عبد الرحمن بن سهل بن زيد ( رضي الله عنه,0,0,Medina
1917,Zayd bin Nuwayra bin al-Harith,( زيد بن نويرة بن الحارث ( رضي الله عنه,0,659,Medina
1918,'Uqba bin Niyar,( عقبة بن نيار ( رضي الله عنه,0,0,Medina
1919,'Umayr bin 'Uqba bin Niyar,( عمير بن عقبة بن نيار ( رضي الله عنه,0,0,Medina
1920,Muhaysa bin Mas'ud,( محيصة بن مسعود الحارثي الأنصاري ( رضي الله عنه,0,0,Medina
1921,Huwaysa bin Mas'ud,( حويصة بن مسعود الحارثي الأنصاري ( رضي الله عنه,0,0,Medina
1922,al-Ahwas bin Mas'ud,( الأحوص بن مسعود الحارثي الأنصاري ( رضي الله عنه,0,0,Medina
1923,Sa'd bin Muhaysa bin Mas'ud,( سعد بن محيصة بن مسعود ( رضي الله عنه,0,0,Medina
1924,Suwayd bin al-Nu'man,( سويد بن النعمان الأنصاري ( رضي الله عنه,0,636,Medina
1925,Azib bin al-Harith,( عازب بن الحارث بن عدي ( رضي الله عنه,0,0,Medina
1926,Qays bin al-Harith,( قيس بن الحارث بن عدي ( رضي الله عنه,0,634,Medina
1927,'Ubaid al-Sahham bin Sulaym,( عبيد السهام بن سليم ( رضي الله عنه,0,0,Medina
1928,Sinan b. Tha'laba,( جميلة بنت سنان بن ثعلبة ( رضي الله عنه,0,0,Medina
1929,Anas bin Duba' bin 'Amir,( أنس بن ضبع بن عامر ( رضي الله عنه,0,0,Medina
1930,Khaythama b. al-Harith,( خيثمة بن الحارث بن مالك ( رضي الله عنه,0,625,Medina
1931,'Abdullah bin Sa'd bin Khaythama,( عبد الله بن سعد بن خيثمة ( رضي الله عنه,0,0,Medina
1933,Abu Ma'qil bin Nahik bin Asaf,"( أبو معقل, الهيثم بن نهيك بن أساف ( رضي الله عنه",0,632,"Makkah, Medina"
1934,Subay' bin Hatib b. Qays,( سبيع/سويبق بن حاطب ( رضي الله عنه,0,0,Medina
1935,Fadala bin 'Ubaid bin Naqid,( فضالة بن عبيد بن نافذ ( رضي الله عنه,0,622,"Medina, Egypt, Syria, Damascus"
1936,Sa'id bin al-Mundhir bin Muhammad,( سعيد بن المنذر بن محمد ( رضي الله عنه,0,0,Medina
1937,Abu Layla,( أبو ليلى الأنصاري ( رضي الله عنه,0,0,"Medina, Kufa"
1938,'Atik b. Qays b. Haysha,( عتيك بن قيس بن هيشة ( رضي الله عنه,0,634,Medina
1939,al-Harith bin 'Atik,( الحارث بن عتيك بن قيس ( رضي الله عنه,0,0,Medina
1940,Habib bin Hubbasha bin Jwaybit,( حبيب بن حباشة بن جبير ( رضي الله عنه,0,0,Medina
1941,'Umayr bin Habib bin Hubbasha,( عمير بن حبيب بن حباشة بن جبير ( رضي الله عنه,0,0,Medina
1942,Aws bin Khalid,( أوس بن خالد بن عبيد ( رضي الله عنه,0,0,Medina
1943,'Umayr bin 'Adi bin Kharasha,( عمير بن عدي بن خرشة ( رضي الله عنه,0,0,Medina
1944,al-Harith bin 'Adi bin Kharasha,( الحارث بن عدي بن خرشة ( رضي الله عنه,0,625,Medina
1945,'Abdullah bin Yazid bin Zayd,( عبد الله بن يزيد بن زيد الخطمي ( رضي الله عنه,0,622,"Medina, Kufa"
1946,Yazid bin Zayd,( يزيد بن زيد الخطمي ( رضي الله عنه,0,0,Medina
1950,Hind bint Mahmud bin Maslama,( هند بنت محمود بن سلمة الأنصارية ( رضي الله عنها,0,0,Medinah
1951,Umm Manzur bint Mahmud bin Maslama,( أم منظور بنت محمود بن سلمة الأنصارية ( رضي الله عنها,0,0,Medinah
1952,Umm 'Amr bint Mahmud bin Maslama,( أم عمرو بنت محمود بن سلمة الأنصارية ( رضي الله عنها,0,0,Medinah
1953,Umm 'Abs bint Maslama,( أم عبيس بنت مسلمة الأنصارية ( رضي الله عنها,0,0,Medina
1954,Layla bint Rafi',( ليلى بنت رافع بن عمرو الأنصارية ( رضي الله عنها,0,0,Medina
1955,Asma' bint Murshida bin Jabir,( أسماء بنت مرشدة بن جبر ( رضي الله عنها,0,0,Medina
1956,'Amira bint Murshida bin Jabir,( عميرة بنت مرشدة بن جبر ( رضي الله عنها,0,0,Medina
1957,Umm al-Dahhak bint Mas'ud,( أم الضحاك بنت مسعود الحارثية ( رضي الله عنها,0,0,Medina
1958,Umm Suhayl bint Abi Hathma,( أم سهيل بنت أبي حثمة ( رضي الله عنها,0,0,Medina
1959,Umayma bint Abi Hathma,( أميمة بنت أبي حثمة ( رضي الله عنها,0,0,Medina
1960,Umama bint Khadij bin Rafi',( أمامة بنت خديج الأنصارية ( رضي الله عنها,0,0,Medina
1961,Umama bint Rafi',( أمامة بنت رافع ( رضي الله عنها,0,0,Medina
1962,'Amira bint Zuhayr bin Rafi',( عميرة بنت ظهير بن رافع ( رضي الله عنها,0,0,Medina
1963,Layla bint Nahik bin Asaf,( ليلى بنت نهيك بن إساف ( رضي الله عنها,0,0,Medina
1964,Thubayta bint al-Rabi' bin 'Amr,( ثبيتة بنت الربيع بن عمرو ( رضي الله عنها,0,0,Medina
1965,Jamila bint Sayfi bin 'Amr,( جميلة بنت صيفي بن عمرو ( رضي الله عنها,0,0,Medina
1966,Umayma bint 'Uqba,( أمامة بنت رافع ( رضي الله عنها,0,0,Medina
1967,Umm 'Amir bint Sulaym,( أم عامر بنت سليم بن ضبع ( رضي الله عنها,0,0,Medina
1968,Jamila bint Sinan,( جميلة بنت سنان بن ثعلبة ( رضي الله عنها,0,0,Medina
1969,'Amira bint Abi Hathma,( عميرة بنت أبي حثمة ( رضي الله عنها,0,0,Medina
1970,Umm al-Rubayyi' bint Aslam,( أم الربيع بنت أسلم بن الحريش الأنصارية ( رضي الله عنها,0,0,Medina
1971,Suhayma bint Aslam,( سهيمة بنت أسلم بن الحريش ( رضي الله عنها,0,0,Medina
1972,Lubaba bint Aslam,( لبابة بنت أسلم بن حريش ( رضي الله عنها,0,0,Medina
1973,Salma bint Aslam,( سلمى بنت أسلم بن الحريش ( رضي الله عنها,0,0,Medina
1974,Salama bint Mas'ud bin Ka'b,( سلامة بنت مسعود بن كعب ( رضي الله عنها,0,0,Medina
1975,Lubna bint Qayzi bin Qays,( لبنى بنت قيظي بن قيس ( رضي الله عنها,0,0,Medina
1976,'Amira bint Sa'd,( عميرة بنت سعد بن عامر ( رضي الله عنها,0,0,Medina
1977,al-Waqsa bint Mas'ud bin 'Amir,( الوقصاء بنت مسعود بن عامر ( رضي الله عنها,0,0,Medina
1978,al-Nuwwar bint Qays bin al-Harith,( النوار بنت قيس بن الحارث ( رضي الله عنها,0,0,Medina
1979,Umm 'Abdullah bint 'Azib,( أم عبد الله بنت عازب الأنصارية ( رضي الله عنها,0,0,Medina
1980,al-Nuwwar bint Qays,( النوار بنت قيس بن لوذان ( رضي الله عنها,0,0,Medina
1981,Aus bin Qayzi bin 'Amr,( أوس بن قيظي بن عمرو ( رضي الله عنه,0,0,Medina
1982,'Abdullah bin Aus bin Qayzi,( عبد الله بن أوس بن قيظي ( رضي الله عنه,0,0,Medina
1983,Kubbatha bin Aus bin Qayzi,( كباثة بن أوس بن قيظي ( رضي الله عنه,0,0,Medina
1984,'Urraba bin Aus bin Qayzi,( عرابة بن أوس بن قيظي ( رضي الله عنه,0,0,Medina
1985,Khadij bin Rafi',( خديج بن رافع بن عدي الأنصاري ( رضي الله عنه,0,0,Medina
1986,Rafi' bin Khadij bin Rafi',( رافع بن خديج بن رافع الأنصاري ( رضي الله عنه,0,622,Medina
1987,Zuhayr bin Rafi',( ظهير بن رافع ( رضي الله عنه,0,0,Medina
1988,Usayd bin Zuhayr bin Rafi',( أسيد بن ظهير بن رافع ( رضي الله عنه,0,622,Medina
1989,Anas bin Zuhayr bin Rafi',( أسيد بن ظهير بن رافع ( رضي الله عنه,0,0,Medina
1990,Rafi' bin Zuhayr bin Rafi',( رافع بن ظهير بن رافع ( رضي الله عنه,0,0,Medina
1991,Zayd bin Mirba' bin Qayzi,( زيد بن مربع بن قيظي ( رضي الله عنه,0,0,Medina
1992,Murara bin Mirba' bin Qayzi,( مرارة بن مربع بن قيظي ( رضي الله عنه,0,0,Medina
1993,'Abdur Rahman bin Mirba' bin Qayzi,( عبد الرحمن بن مربع بن قيظي الأنصاري ( رضي الله عنه,0,636,Medina
1994,'Abdullah bin Mirba' bin Qayzi,( عبد الله بن مربع بن قيظي ( رضي الله عنه,0,636,Medina
1995,Qayzi bin Qays,( قيطي بن قيس بن لوذان ( رضي الله عنه,0,635,Medina
1996,'Abdullah bin Qayzi bin Qays,( عبد الله بن قيظي بن قيس ( رضي الله عنه,0,635,Medina
1997,'Abdur Rahman bin Qayzi bin Qays,( عبد الرحمن بن قيظي بن قيس ( رضي الله عنه,0,634,Medina
1998,Abu Ahmed bin Qays,( أبو أحمد بن قيس بن لوذان الأنصاري ( رضي الله عنه,0,0,"Medina, Kufa"
1999,Sulaym bin Qays bin Ludhan,( سليم بن قيس بن لوذان ( رضي الله عنه,0,0,"Medina, Kufa"
2000,Sukhra bint Abi Jahl,( صخرة بنت أبي جهل بن هشام ( رضي الله عنها,0,0,"Makkah, Medinah"
2001,Umm Hakim bint Abi Jahl,( أم حكيم بنت أبي جهل بن هشام ( رضي الله عنها,0,0,"Makkah, Medinah"
2002,Umm Sa'id bint Abi Jahl,( أم سعيد بنت أبي جهل بن هشام ( رضي الله عنها,0,0,"Makkah, Medinah"
2003,Jamila bint Abi Jahl,( جميلة بنت أبي جهل ( رضي الله عنها,0,0,"Makkah, Medinah"
2004,'Umar bin Ikrimah ibn Abi Jahl,( عمر بن عكرمة بن أبي جهل ( رضي الله عنه,0,0,"Makkah, Yemen, Syria"
2005,Umm Harith bint 'Ayyash bin Abi Rabi'a,( أم الحارث بنت عياش بن أبي ربيعة ( رضي الله عنها,0,0,"Makkah, Abyssinia, Medina"
2006,'Abdullah bin Abi Rabi'a,( عبد الله بن أبي ربيعة ( رضي الله عنه,0,0,"Makkah, Medina, Yemen"
2007,al-Harith bin 'Abdullah bin Abi Rabi'a,( الحارث بن عبد الله بن أبي ربيعة ( رضي الله عنه,0,0,"Makkah, Medina, Basra, Kufa"
2008,'Amir/'Umar bin 'Abdullah bin Abi Rabi'a,( عامر/عمر بن عبد الله بن أبي ربيعة ( رضي الله عنه,0,0,"Makkah, Medina"
2009,al-Harith bin Abi Rabi'a,( الحارث بن أبي ربيعة بن المغيرة ( رضي الله عنه,0,0,"Makkah, Medina, Yemen"
2010,'Abdullah bin al-Harith bin Abi Rabi'a,( عبد الله بن الحارث بن أبي ربيعة ( رضي الله عنه,630,0,"Makkah, Medina"
2011,al-Harith bin Hisham,( الحارث بن هشام بن المغيرة ( رضي الله عنه,0,640,"Makkah, Syria"
2012,Abu Sa'd/Sa'id bin al-Harith bin Hisham,( أبو سعد أو أبو سعيد بن الحارث بن هشام ( رضي الله عنه,0,0,"Makkah, Syria"
2013,al-Mughira bin al-Harith bin Hisham,( المغيرة بن الحارث بن هشام المخزومي ( رضي الله عنه,0,622,"Makkah, Syria"
2014,'Abdullah bin al-Harith bin Hisham,( عبد الله بن الحارث بن هشام المخزومي ( رضي الله عنه,0,0,"Makkah, Syria"
2015,Khalid bin Hisham,( خالد بن هشام بن المغيرة ( رضي الله عنه,0,0,"Makkah, Syria"
2016,Hisham bin al-'As bin Hisham,( هشام بن العاص بن هشام بن المغيرة ( رضي الله عنه,0,0,Makkah
2017,Sa'id bin al-'As bin Hisham,( سعيد بن العاص بن هشام بن المغيرة ( رضي الله عنه,0,0,Makkah
2018,Khalid bin al-'As bin Hisham,( خالد بن العاص بن هشام بن المغيرة ( رضي الله عنه,0,0,Makkah
2019,Abu 'Ubaida bin 'Ammara bin al-Walid,( أبو عبيدة بن عمارة بن الوليد المخزومي ( رضي الله عنه,0,634,"Makkah, Medina"
2020,Layla bint 'Atarad,( ليلى بنت عطارد بن حاجب التميمية ( رضي الله عنها,0,0,"Makkah, Medina"
2021,al-Muhajir bin Khalid bin al-Walid,( المهاجر بن خالد بن الوليد المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2022,'Abdur Rahman bin Khalid bin al-Walid,( عبد الرحمن بن خالد بن الوليد المخزومي ( رضي الله عنه,0,622,"Makkah, Medina, Syria, Hims"
2023,'Abdullah bin Khalid bin al-Walid,( عبد الله بن خالد بن الوليد المخزومي ( رضي الله عنه,0,0,"Makkah, Medina, Syria, Hims"
2024,Suliaman bin Khalid bin al-Walid,( سليمان بن خالد بن الوليد المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2026,Asma bint Anas al-Khatha'miyya,( أسماء بنت أنس بن مدرك الخثعمية ( رضي الله عنها,0,0,"Makkah, Medina"
2027,Anas bin Mudrak al-Khatha'ma,( أنس بن مدرك الخثعمي ( رضي الله عنه,0,0,"Makkah, Medina"
2028,al-Walid bin 'Ammara bin al-Walid,( الوليد بن عمارة بن الوليد المخزومي ( رضي الله عنه,0,634,"Makkah, Medina"
2029,'Abdur Rahman bin 'Ammara bin al-Walid,( عبد الرحمن بن عمارة بن الوليد المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2030,al-Walid bin al-Walid,( الوليد بن الوليد بن المغيرة ( رضي الله عنه,0,0,"Makkah, Medina"
2031,al-Walid bin al-Walid bin al-Walid,( الوليد بن الوليد بن المغيرة ( رضي الله عنه,0,0,"Makkah, Medina"
2032,Hurmila bin al-Walid,( حرملة بن الوليد بن المغيرة ( رضي الله عنه,0,0,"Makkah, Medina"
2033,Hisham bin al-Walid,( هشام بن الوليد بن المغيرة المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2034,'Ammara bin al-Walid,( عمارة بن الوليد بن المغيرة المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2035,al-Walid b. 'Abd Shams,( الوليد بن عبد شمس بن المغيرة ( رضي الله عنه,0,634,"Makkah,  Medinah"
2036,'Abdur Rahman bin al-Walid,( عبد الرحمن بن الوليد بن عبد شمس ( رضي الله عنه,0,0,"Makkah,  Medinah"
2037,Habib bin 'Abd Shams,( حبيب بن عبد شمس بن المغيرة ( رضي الله عنه,0,634,"Makkah,  Medina"
2038,Fa'id bin 'Ammara bin al-Walid,( فائد بن عمارة بن الوليد المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2039,Hisham bin 'Ammara bin al-Walid,( هشام بن عمارة بن الوليد المخزومي ( رضي الله عنه,0,637,"Makkah, Medina"
2042,Abu Salma bin Sufyan,( أبو سلمة بن سفيان القرشي المخزومي ( رضي الله عنه,0,0,"Makkah, Medinah"
2043,'Umar bin Sufyan,( عمر بن سفيان بن عبد الأسد المخزومي ( رضي الله عنه,0,0,"Makkah, Medinah"
2044,'Abdur Rahman bin Sufyan,( عبد الرحمن بن سفيان بن عبد الأسد المخزوم ( رضي الله عنه,0,0,"Makkah, Medinah"
2045,al-Harith bin Sufyan,( الحارث بن سفيان بن عبد الأسد المخزوم ( رضي الله عنه,0,0,"Makkah, Medinah"
2046,Mu'awiya bin Sufyan,( معاوية بن سفيان بن عبد الأسد المخزوم ( رضي الله عنه,0,0,"Makkah, Medinah"
2050,Fatima bint al-Aswad,( فاطمة بنت الأسود بن عبد الأسد ( رضي الله عنها,0,0,"Makkah, Medina"
2051,Umm 'Amr bint Sufyan,( أم عمرو بنت سفيان بن عبد الأسد المخزومية ( رضي الله عنها,0,0,"Makkah, Medina"
2060,Sa'id bin Yarbu',( سعيد بن يربوع القرشي ( رضي الله عنه,0,622,"Makkah, Medina, Syria"
2061,'Abdur Rahman bin Sa'id bin Yarbu',( عبد الرحمن بن سعيد بن يربوع المخزومي ( رضي الله عنه,0,728,"Makkah, Medina"
2062,al-Musayb bin Abi Sa'ib,(Sayfi) ( المسيب بن أبي السائب القرشي المكي ( رضي الله عنه,0,0,"Makkah, Medina"
2063,'Abdullah bin al-Musayb bin Abi Sa'ib,( عبد الله بن المسيب بن أبي السائب العابدي ( رضي الله عنه,0,0,"Makkah, Medina"
2064,al-Sa'ib b. Abi Sa'ib,(Sayfi) ( السائب بن أبي السائب القرشي المكي ( رضي الله عنه,0,0,"Makkah, Medina"
2065,'Abdullah bin al-Sa'ib,( عبد الله بن السائب المخزومي ( رضي الله عنه,0,622,"Makkah, Medina"
2066,'Abdur Rahman bin al-Sa'ib,( عبد الرحمن بن السائب المخزومي ( رضي الله عنه,0,657,"Makkah, Medina"
2070,al-Musayyib bin Hazn b. Abi Wahb,( المسيب بن حزن بن أبى وهب المخزومي ( رضي الله عنه,0,0,"Makkah, Medina, Egypt, Africa"
2071,al-Sa'ib bin Hazn b. Abi Wahb,( السائب بن حزن بن أبى وهب المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2072,Abu Ma'bad bin Hazn b. Abi Wahb,( أبو معبد بن حزن بن أبى وهب المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2073,Hakim bin Hazn b. Abi Wahb,( حكيم بن حزن بن أبى وهب المخزومي ( رضي الله عنه,0,634,"Makkah, Medina"
2074,'Abdur Rahman bin Hazn,(Asghar) ( عبد الرحمن بن حزن بن أبى وهب المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2075,'Abdur Rahman bin Hazn,(Akbar) ( عبد الرحمن بن حزن بن أبى وهب المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2076,Hazn bin Abi Wahb bin 'Amr,( حزن بن أبى وهب المخزومي ( رضي الله عنه,0,634,"Makkah, Medina"
2077,Umm Sa'id bint Sakhar bin Hakim,( أم سعيد بنت صخر بن حكيم ( رضي الله عنها,0,0,"Makkah, Medina"
2079,Qays bin al-Sa'ib b. 'Uwaymar,( قيس بن السائب بن عويمر ( رضي الله عنه,0,0,"Makkah, Medina"
2080,Ja'dah bin Hubayra bin Abi Wahb,( جعدة بن هبيرة بن أبي وهب ( رضي الله عنه,0,622,"Makkah, Medina, Kufa"
2081,Yusuf bin Hubayra bin Abi Wahb,( يوسف بن هبيرة بن أبي وهب ( رضي الله عنه,0,0,"Makkah, Medina"
2082,Hani bin Hubayra bin Abi Wahb,( هانئ بن هبيرة بن أبي وهب ( رضي الله عنه,0,0,"Makkah, Medina"
2083,'Amr bin Hubayra bin Abi Wahb,( عمرو بن هبيرة بن أبي وهب ( رضي الله عنه,0,0,"Makkah, Medina"
2085,Zuhayr bin Abi Umayyah,( زهير بن أبي أمية المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2086,'Amir bin Abi Umayyah,( عامر بن أبي أمية المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2087,Ma'bad bin Zuhayr bin Abi Umayyah,( معبد بن زهير بن أبي أمية المخزومي ( رضي الله عنه,0,657,"Makkah, Medina"
2088,al-Muhajir bin Abi Umayyah,( المهاجر بن أبي أمية المخزومي ( رضي الله عنه,0,0,"Makkah, Medina"
2089,Rayta bint Abi Umayyah,( ريطة بنت أبي أمية المخزومية ( رضي الله عنها,0,0,"Makkah, Medina"
2090,al-Hakam bin Kaysan,( الحكم بن كيسان مولى لبني مخزوم ( رضي الله عنه,0,626,"Makkah, Medina"
2180,Jabla bin Harithah,( جبلة بن حارثة ( رضي الله عنه,0,0,"Hijaz, Kufa"
2200,Makhrama bin Nawfal,( مخرمة بن نوفل القرشي ( رضي الله عنه,0,675,"Makkah, Medina"
2201,al-Miswar bin Makhrama bin Nawfal,( المسور بن مخرمة بن نوفل ( رضي الله عنه,624,622,"Makkah, Medina"
2202,al-Salat bin Makhrama bin Nawfal,( الصلت بن مخرمة بن نوفل ( رضي الله عنه,0,0,"Makkah, Medina"
2203,Safwan bin Makhrama bin Nawfal,( صفوان بن مخرمة القرشي الزهري ( رضي الله عنه,0,0,"Makkah, Medina"
2204,'Amir bin Makhrama bin Nawfal,( عامر بن مخرمة بن نوفل القرشي الزهري ( رضي الله عنه,0,0,"Makkah, Medina"
2205,Umayma bint Ruqayqa bint Abi Sayfi,( أميمة بنت رقيقة بنت أبي صيفي ( رضي الله عنها,0,0,"Makkah, Medina"
2206,'Abdur Rahman bin al-Aswad,( عبد الرحمن بن الأسود بن عبد يغوث القرشي ( رضي الله عنه,0,0,"Makkah, Medina"
2207,Khalida bint al-Aswad,( خالدة بنت الأسود بن عبد يغوث القرشي ( رضي الله عنها,0,0,"Makkah, Medina"
2208,'Abdullah bin al-Arqam,( عبد الله بن الأرقم ( رضي الله عنه,0,685,"Makkah, Medina"
2209,'Abdullah bin Shihab,( عبد الله الأصغر بن شهاب بن عبد الله ( رضي الله عنه,0,0,Makkah
2210,Masruh bin Thuwaybah,( مسروح ولد ثويبة ( رضي الله عنه,0,622,"Makkah, Medina"
2211,'Abdullah bin Shihab,( عبد الله الأكبر بن شهاب بن عبد الله ( رضي الله عنه,0,0,Makkah
2215,Azhar bin 'Abd 'Awf,( أزهر بن عبد عوف الزهري ( رضي الله عنه,0,0,"Makkah, Medina"
2216,'Abdur Rahman bin Azhar bin 'Abd 'Awf,( عبد الرحمن بن أزهر بن عبد عوف الزهري ( رضي الله عنه,0,684,"Makkah, Medina"
2230,'Abdullah bin Khabbab ibn al-Aratt,( عبد الله بن خباب بن الأرت ( رضي الله عنه,0,622,"Makkah, Medina, Kufa"
2231,'Abdur Rahman bin Khabbab ibn al-Aratt,( عبد الرحمن بن خباب بن الأرت ( رضي الله عنه,0,0,"Makkah, Medina, Kufa"
2232,Zaynab bint Khabbab ibn al-Aratt,( زينب بنت خباب بن الأرت ( رضي الله عنها,0,0,HIjaz
2233,Mulayka wife Khabbab,( مليكة امرأة خباب بن الأرت ( رضي الله عنها,0,0,Hijaz
2240,'Utba ibn Abi Waqqas,( عتبة بن أبي وقاص ( رضي الله عنه,0,0,"Makkah, Medina"
2241,Nafi' bin 'Utba ibn Abi Waqqas,( نافع بن عتبة بن أبي وقاص ( رضي الله عنه,0,0,"Makkah, Medina"
2242,Hashim bin 'Utba ibn Abi Waqqas,( هاشم بن عتبة بن أبي وقاص ( رضي الله عنه,0,622,"Makkah, Medina"
2280,Jabla bin Harithah,( جبلة بن حارثة ( رضي الله عنه,0,0,"Hijaz, Kufa"
2281,Harithah ibn Sharahil,( حارثة بن شراحيل ( رضي الله عنه,0,0,"YemanMakkah, Medina"
2300,al-Muti' bin al-Aswad bin al-Muttalib,( المطيع بن الأسود بن المطلب ( رضي الله عنه,0,622,"Makkah, Medina"
2301,Habbar bin al-Aswad bin al-Muttalib,( هبار بن الأسود بن المطلب ( رضي الله عنه,0,0,"Makkah, Medina"
2302,'Abdullah bin al-Muti' b. al-Aswad,( عبد الله بن مطيع بن الأسود بن المطلب ( رضي الله عنه,0,622,"Makkah, Medina"
2303,'Abdur Rahman bin al-Muti' b. al-Aswad,( عبد الرحمن بن مطيع بن الأسود بن المطلب ( رضي الله عنه,0,0,"Makkah, Medina"
2304,'Ali bin Habbar bin al-Aswad,( علي بن هبار بن الأسود بن المطلب ( رضي الله عنه,0,0,"Makkah, Medina"
2305,'Abdul Malik bin Habbar bin al-Aswad,( عبد الملك بن هبار بن الأسود بن المطلب ( رضي الله عنه,0,0,"Makkah, Medina"
2306,Wahb bin Zam'a bin al-Aswad,( وهب بن زمعة بن الأسود بن المطلب ( رضي الله عنه,0,0,"Makkah, Medina"
2307,'Abdullah bin Wahb bin Zam'a,(older) ( عبد الله الأكبر بن وهب بن زمعة ( رضي الله عنه,0,0,"Makkah, Medina"
2308,'Abdullah bin Wahb bin Zam'a,( عبد الله بن وهب بن زمعة ( رضي الله عنه,0,0,"Makkah, Medina"
