scholar_index,name_letters,name_arabic,birth_greg,death_greg,places_of_stay
51,Khadijah,( خديجة بنت خويلد ( رضي الله عنها,553,620,Makkah
52,Sawda bint Zam'a,( سودة بنت زمعة ( رضي الله عنها,623,676,"Makkah, Abyssinia, Medinah"
53,'Aisha bint Abi Bakr,( أمّ المؤمنين عائشة بنت أبي بكر الصديق ( رضي الله عنها,614,678,"Makkah, Medina"
54,Hafsa bint Umar,( حفصة بنت عمر بن الخطاب أم المؤمنين ( رضي الله عنها,609,662,"Makkah, Medina"
55,Zaynab bint Khazeemah,( زينب بنت خزيمة ( رضي الله عنها,597,626,"Makkah, Medina"
56,Umm Salamah,( أم سلمة بنت أبي أمية ( رضي الله عنها,623,683,"Makkah, Medina"
57,Zaynab bint Jahsh,( زينب بنت جحش الأسدية أم المؤمنين ( رضي الله عنها,593,642,"Makkah, Medina"
58,Juwayriya bint al-Harith,( جويرية بنت الحارث ( رضي الله عنها,623,622,Medinah
59,Umm Habibah bint Abi Sufyan,"( أم حبيبة ,رملة بنت أبي سفيان ( رضي الله عنها",589,622,"Makkah, Abyssinia, Medina"
60,Safiyya bint Huyayy,( صفية بنت حيي بن أخطب ( رضي الله عنها,610,622,Medinah
61,Maymuna bint al-Harith,( ميمونة بنت الحارث بن حزن الهلالية ( رضي الله عنها,603,682,"Makkah, Medina"
62,Maria al-Qibtiyya,( مارية القبطية أم ولد ( رضي الله عنها,0,622,"Egypt, Medinah"
63,Fatima bint Muhammad,( فاطمة الزهراء بنت محمد بن عبد الله ( رضي الله عنها,607,633,"Makkah, Medina"
64,Liala bint Abi Hathmah,( ليلى بنت أبي خثمة بن حذيفة ( رضي الله عنها,0,0,"Makkah, Abyssinia, Medinah"
65,Sehlah bint Suhayl,( سهلة بنت سهيل بن عمرو ( رضي الله عنها,0,0,"Makkah, Abyssinia, Medinah"
66,al-Khansa,( خنساء/ تماضر بنت عمرو ( رضي الله عنها,0,646,Medina
67,al-Nahdiya,( النهدية ( رضي الله عنها,0,0,"Makkah,  Medinah"
68,Arwa bint al-Harith,( أروى بنت الحارث ( رضي الله عنها,0,0,"Makkah, Medina"
69,Asma bint 'Umays,( أسماء بنت عميس بن معد ( رضي الله عنها,0,622,"Makkah, Medina, Abyssinia"
70,Asma' bint Abi Bakr,( أسماء بنت أبي بكر الصديق ( رضي الله عنها,596,693,"Makkah, Medina"
71,Umm Atiyyah Ansariyah,( أم عطية الأنصارية ( رضي الله عنها,0,0,"Medina,  Basra"
72,Hamnah bint Jahsh,( حمنة بنت جحش الأسدية ( رضي الله عنها,0,0,"Makkah, Medina"
73,Hind bint Awf,( هند / خولة بنت عوف بن زهير ( رضي الله عنها,0,0,"Makkah, Medina"
74,Hind bint 'Utba b. Rabi'a b. 'Abd Shams,( هند بنت عتبة بن ربيعة بن عبد شمس ( رضي الله عنها,0,622,"Makkah, Medinah"
